,userid,itemid,transcript,labeled_topic,topic_label
10,614f4b52dd9b35160ab95af5,QOL_1,"Oh. Uh so speaking more detail about why I'm satisfied with the quality of life in my community. Um I feel like we live in a very good, very safe community. Um where we live is, I mean, just a quarter mile from the nearest fire station, um Couple of miles from the nearest police station, but it's beyond that. I think our neighborhood is a very safe neighborhood, very clean neighborhood. It's got beautiful walking trails and ponds behind it. Um That part of our community is just incredible. I love where we live beyond that. Um I love my job. Um I work, you know, 5 to 6 days a week at it, but it's a good place to work that cares about its people. Um Inside of that, I also have a good uh community of friends. Um We love to hang out together, have fun together. There's plenty to do around here to keep us busy. Um We're never lacking for something going on. Also, my kids have incredible schools around here. Um schools, uh both the independent school district that is in our area, but also my kids attend a charter school which is phenomenal. Charter school. Um And so, yeah, I feel like our community is a great community. Um and really, really love it.",24_neighborhood_live_houses_theres,neighborhood
11,6064a0185b9ce0ca98b5e791,QOL_1.1,"A typical week in my life consists of waking up early to get my Children ready for school. I have four Children and so I get up around five AM to clean, do any small errands for myself. And then I begin making breakfast and then wake the kids up, get them ready, get them fed and then drive them to school. I then come back home, start my remote job in which I work up until 2 30 then I go get the kids from school, come home and proceed to make dinner and again clean, do homework and, um, check in with everyone about their day. Um, to conclude that, um, then I take a little bit of time for myself, wrap up anything needed with my remote job. Um, relax a little bit, um, watch a murder she wrote and then head off to bed. It's pretty much the same thing every day, including on the weekend. Mine is taking the kids to school. I wake up, um, cook clean. Um, make sure everyone is feeling ok. And then I continue working on my remote job. I work seven days a week. Yeah.",19_work_balance_productive_week,work_life_balance
12,62952201fa2b4996b7a66f3d,QOL_1.1,"I am fairly satisfied with the my life in the community I live in now. I live in a country type town and Comey and uh it's very pleasant. There is no crime to amount to anything that I know about. And the people are pretty friendly and it's like an old country town where in the past where people used to help one another and talk to one another. And uh it's just a, a real peaceful situation and you're not in the city to where it's confusing and crazy and cr crime all over the place. So I really enjoy the fact I live, live out in the country. I would like to stay this way for quite some time if possible and uh live a peaceful life.",24_neighborhood_live_houses_theres,neighborhood
13,5ea991e27223d90d857bc4a6,QOL_1,"So I live in Austin, Texas, which is definitely a city and based on it being a city, I feel like as far as friendships go, I have a lot of activities to do a lot of fun to have. Um But closer relationships as far as friendships are not so much of the norm. Here, I have my best friend, but they live about three hours away and here I have lots of friends, but no one that I would really consider like a best friend outside of my partner. Um Another contribution that made me say somewhat agree instead of strongly was the safety in the city. Um There have been ongoing issues with city ordinances and as far as like the government making sure that safety is happening, um it's not so imposed. And so sometimes like if I'm out later at night or if I'm needing to stop for gas or something like that, I can feel like I'm in kind of an unsafe position and I feel like if they would remedy that, then I definitely would say I strongly agree. Um As far as that I'm satisfied with the quality of life in my community. Um But sense of safety is one thing that contributes to me not feeling that way. Um As far as well-being, I love the city. I love everything going on in the city. There's a lot of fun to have. There are a lot of things to do and you're constantly busy, which is my preference. So that's one thing that I really love about quality of life here. Um There's always something to do no matter what time of day it is, what day of the week it is or your availability. So, it's really fun.",24_neighborhood_live_houses_theres,neighborhood
14,606479c20b621e3a22d6c0d5,QOL_1.1,"We just recently moved to the area that we're living in. Now, we've only lived here about, uh, I guess about four months, uh, in the four month time we've, uh, joined a church and gotten to know the local area. This is a rural area to some degree. Uh There's about, I think a roughly 50,000 people that live in this, uh small area here. But, uh, it's, you know, there's still farms and things like that. So it's a very peaceful uh community, that sort of thing. So, a typical week, uh, for me, I get to work from home, which is a, a real uh blessing. Uh, and it, it is a, a wonderful benefit. And so, uh, you know, typical work week for me is Monday through Friday. I start about in between six and 6 30 in the morning and work till 3 to 3 30 in the afternoons and work pretty much, uh, straight through for those hours. And for that time, um, after that, uh, I have a golden retriever and my wife and I, uh, walk the golden retriever quite a bit. She's a energetic dog and needs quite a bit of exercise to stay sane, I guess. And so we do that and, uh, then we'll, you know, we have dinner together, we do some things, uh, together around the house and, and do some things, you know, sometimes, uh, we have various things we do through the week. Uh, Wednesday night, we go to a small group and, you know, there's, uh, other nights that we have little things that we do from time to time. So we do all those things, uh, you know, through the week and, uh, then I, we go to bed fairly early. We like to watch, uh, TV, and movies. And so we do some of that and, uh, we've, we've always enjoyed that. So, um, but, you know, that's a, that's kind of a typical week for us, uh, weekends. Uh, we always go to church on Sundays. Uh, we'll try to spend some time with our families. Uh, my, we have a one son that lives, uh, in, it's about 20 miles from here and our other sons are in college in a way most of the time. But we spend as much time as we can with them and, and, uh, we have a lot of new friends in this area and we spend a lot of time with them too. So that's, that's kind of what we do. We typically",19_work_balance_productive_week,work_life_balance
15,634027f949aab36bf66b50a3,QOL_1.1,"The quality of life in my community is pretty good. Um I live in Houston, Texas. I live in specifically an area called Spring Branch. I live amongst a large community of immigrants, mainly uh Mexican immigrants. And um I love living around them. There's a lot of, a lot of community, a lot of diversity, the food in the family um focus is amazing. A lot of people here um are safe. They don't want to commit crimes because unfortunately, a lot of them are not documented. So committing crimes is extra bad thing for them because they don't want to get sent back to her. Um They originally came and for them. I would rather them not be sent back. I want them here. Um They bring such culture diversity, they bring such family oriented thing that I love being around. I'm not a family man. I live alone. I don't plan to have a family. I don't want a family, but I love living among people who have family values as this. I don't mean fam values as in traditional American values. I mean family values as in just people who love their family. So I am very satisfied with where I live. I haven't lived here very long. I've lived in Houston most of my life, but I have moved to the Spring Branch area around eight months ago and I'm, I am very happy that I did. It changed my life in a lot of different ways. I really enjoy it.",24_neighborhood_live_houses_theres,neighborhood
16,5e63e24eaf3bd51660031dbe,QOL_1,"I would say that I am fairly pleased with life in my community. Uh I live in a pretty nice neighborhood. I know all my neighbors. We get along really well. Uh We have very little crime or any kind of disturbances. Uh The schools here are great. Um Everything from community services to police and fire always has been fantastic. I've never had a problem with any of it. Uh I enjoy my community very much. Uh The school that my son goes to does a fantastic job with teaching homework, everything that you would want from school. Um There's also lots to do here, lots of family activities, lots of fantastic restaurants, uh lots of just day to day things to enjoy from the parks, the libraries, the museums. Uh It's a really great place to live and I'm, I'm happy to be a part of this community.",24_neighborhood_live_houses_theres,neighborhood
17,5c4af67cdccaa800016b3192,QOL_1,"Overall, I somewhat disagree with the statement that I'm satisfied with the quality of life in my community. Uh, well, overall it's not bad and there are certainly some good aspects to living here. Uh, there are, there are some problems. First, I do think the economy is not very strong here. Uh, jobs are relatively low paying and there aren't that many to, to choose from, uh, to begin with. We have kind of a, a weak job market. Uh, next, I would say that, uh, safety is an issue as well. It's not a very dangerous place. But, you know, I've lived here a long time and over the years I've been the victim of theft, uh, multiple times and there's a problem here with, with, uh, with drugs and so forth as well. That's, you know, it's a bit of a negative too. Uh, I would also say in general that the, the area is very, uh, sort of culturally conservative. Uh, and I think that's just held the area back somewhat in, in terms of just looking forward and being as, as innovative as it's needed, needed to be. I think it's just clung to the past, uh, to some extent as well. And I think kind of going along with that the area is, is very religious too, uh, and which is not by itself a problem. Same with being conservative, but it's just, I think resulted in, in misplaced priorities at times. Uh, we're not as progressive as we should be with our educational, uh, system. The county schools aren't as good as they, as they should be. We're just not making the investments in those areas that I think is needed to be done. Um, but, you know, like I said, though, I, I still feel like it's a, it's a generally good place here to, to, to raise a family. Uh, the cost of living, uh, is low, uh, certainly compared like to, to bigger cities and, and so forth. Uh, then the other issue I'd say that is, is a bit of a frustration is, uh, there's a very low walk ability here. Uh, while we do have a limited public transportation, which is actually fairly decent for an area, the size, uh, you know, to survive here, really, you have to own a car which is, which is frustrating to me. There's not, not as many sidewalks as there should be, uh, in, in that kind of thing and that's just something I've always found to be a bit frustrating. Uh The other thing I say I do like about the quality of life here is, uh, we're very close to nature being in a rural area. Uh, we have a lot of, uh, like nature trails and so forth and we have two rivers that are pretty nice. Uh, so that's, that's kind of thing. Uh, so that's just how I would say, you know, somewhat dissatisfied. Overall, there are certainly some positive aspects to living here.",24_neighborhood_live_houses_theres,neighborhood
18,63d5e3bf4a739d1158b9ce64,QOL_1,"All right. So I am a second grade teacher. 2nd and 3rd grade. My typical week is working at school. Um, I'm also very involved in fitness. I work out twice a day. My first workout is, um, uh, an hour or so of cardio, running, dancing. Uh, my second workout is a more boot camps circuit training and I incorporate weights, dumbbells, strength training. Um, I cook breakfast. I make lunches, I cook dinner, do all the cleaning, all the household chores. Um, and I grade papers from home. I, yeah, typical week. There's not always a lot of going out on the weekends. I run errands, grocery shopping, whatever. And I occasionally will add in fun stuff with all my errand running. So that is a typical week when school is in session in the summers. I just do whatever. Ok. I was. Ok. Uh, please let us know how you choose to respond. The clip one. I respond to a great detail. Ok. Hopefully. Oh, I see. Whoops. Click to stop recording. Nice.",19_work_balance_productive_week,work_life_balance
19,640100c4a257e711d8b5c0a3,QOL_1,"So I'm not really satisfied with the quality of life in my community. Um My community is very much a community of haves and have nots and um not as much community together as an involvement as I'd like to say, I live in a touristy area which is a lot of it. Um because there's, there's quite a bit of transient population that move in and out constantly um in the summer on a weekly basis. And then there are a lot of people that have vacation homes down here. So you don't have this sense of this core community that come together for each other when they need to. Um Which I do find is something that I want more than I realized I wanted before I moved here. So I also find uh just the disparity, right? I mean, there's some serious poverty here and then there's some incredible a fluid here. And, you know, I guess I'm a little bit too much of a socialist because I really think that the country would be in better shape if it was more balanced, right? If we took care of everybody. Um But that's kind of how I feel about my community as far as, um, quality of life, as far as safety is concerned. Um, safety doesn't bother me here. It's a somewhat safe community. We do occasionally have a murder and assault. Um, we don't, we maybe have property crime, you know, kind of the stuff you expect to see in tourist areas. Um, probably a little bit more alcohol in the community than I would like. So, but again, the nature of where I live, I live at the beach. Yeah, it's a big party. Right. Um, so, you know, I, it's not that I dislike it. I just definitely would not consider myself satisfied, but I'm not necessarily dissatisfied in any significant way either if that makes any sense whatsoever.",31_community_online_people_group,online_community
20,62bdad093f129a724c4dd7b2,QOL_1,"I chose, ah, somewhat disagreeing in regards to the quality of life in my community for several different reasons. Um, one of the main reasons would be, um, when considering my sense of safety, I think that in the recent years where I'm at has become a lot less safe in general. Um, there's a lot of homeless and crime that's been going on for several years now and it seems to actually be getting worse and worse over time. Um, I mean, there's entire giant encampments full of homeless people, openly committing crimes on a daily basis and it's not being stopped at all by the police or anybody. It's just being allowed to go on. Um, in general, my, my well being is good. I would say so I don't disagree on that part, but in regards to my sense of safety and participation in the community, I would definitely say that I somewhat disagree. Um, I don't participate too actively in the community. I am looking into doing some type of volunteer work, potentially at a food bank in the near future.",31_community_online_people_group,online_community
21,604bd44cb5668ba12cc9376e,QOL_1,"Mhm. I'm very comfortable where I live. There's very little crime and I live out in the country so there's even less around me. There's really no heavy duty crime going on anywhere around me. Um, I have a beautiful place where I live. It's out in the woods which is a very, very unusual place where I live in northern Iowa. It's a house that was built kind of as a party house and I've owned it now for over 20 years and I built a second house, uh, that connects to the first one. And my daughter and son-in-law moved into the original house and I live in the new house, which is kind of cool because that way I got the new kitchen. I like to join in a couple of different, uh, clubs. Um, my favorite is the Marine Corps League. Um, because it's just really like a family. If you need help, there's always somebody there and if you could help you are willing to do. So, I like to contribute to this organization in a couple of ways. I play taps at, um, Marine Funerals. I'm not very good at it. But, uh, it sure beats a recording, which is really tinny sounding. I also volunteer a lot for toys for tots. This really is a full time job in November and December. I go around to different places and place, uh, money tubes and boxes for toys and then of course I go back and collect them and then after everything is done I in January, I am chief in charge of the inventory. I count all the toys and all the books and all the little stocking stuffers. I don't know how I ended up with this job, but probably because I'm very, very accurate. Yeah.",31_community_online_people_group,online_community
22,5e3d8d90de328d044e7c6ffb,QOL_1,"I'm generally satisfied with the quality of life in my community, particularly in my neighborhood in the areas that I frequent. Uh, it's feels pretty safe for the most part. Um, the neighborhood that I live in has a lot of nice houses. People keep, um, people take care of their yards and their homes and there are lots of sidewalks and families. There's a lot of young families in particular, a lot of people riding bikes and walking their dogs. And so it really feels like a neighborhood even though it's in the city. Um, people tend to get involved with things, particularly with school or church. So in that sense, I'm pretty satisfied. There's also a lot of cool restaurants and things to do nearby, but I grew up in a smaller town and that in general felt a lot more safe and that I felt comfortable as a kid going out on my own, riding my bike wherever I wanted to, hanging out with friends without having to worry about, you know, something terrible happening to me. And that's just a little different here being in the city. Uh I definitely wouldn't feel as comfortable letting my kids get out and be unsupervised outside as much as I was growing up. But setting that aside, otherwise I think it's a pretty safe and, um, good neighborhood with a good quality of life.",24_neighborhood_live_houses_theres,neighborhood
23,5bed01c8306ec30001fb80e2,QOL_1.1,"So a typical week in my life, um, consists of work. Mostly I work from home so I don't have to worry about a commute or anything like that. I don't even have to get up and like, put on a suit in the morning. I can stay in like gym clothes. Um, so I wake up in the mornings and I want my dogs and then I go ahead and start work. I try to do some housework while I'm working. I generally, um, exercise and get in a good, like high intensity workout before lunch. I eat lunch. Then I shower, put on some fresh gym clothes, um, and then finish work for the day and somewhere around five or six, I stop and I walk the dogs again. But this time like a few miles to get in a good, like low impact workout. Uh, I come back, I do some yoga. I make some dinner and then, uh, I have some down time whether I want to paint or play the piano or binge, watch a show or read a book. Uh, I finish up any housework that I didn't get done during my down time. While I was locked into work and then I try to get to bed at a decent hour so that I can get up early the next day. Um, but generally because my schedule is pretty much like, based around my house, like I do grocery delivery, so I don't necessarily have to go to the store that's like a once a month thing rather than once a week. Um, you know, if I have some kind of social event, I will go out and do that. But even, uh the Coronavirus pandemic kind of put a damper on that. So for the most part, I pretty much stay at home. I might play some cards with my neighbors or something like that or have some company over for dinner. But, uh my weeks are pretty standard and just kind of revolve around like work and exercise and my general hobbies.",19_work_balance_productive_week,work_life_balance
24,6154b0b9c638eb2b8b147def,QOL_1,"The reason why I somewhat disagree with the quality of life in my community is because I feel like I have um lack of resources. I um live with two of my younger sons that are six and nine and my six year old has autism. He is nonverbal. Um And he is, he gets very aggressive. He um is a lot to handle on a daily basis and I don't have really a community to help me with him. Um As far as family wise, um my mother is no longer living and my father and only sibling live out of state. So I consider them resources but they're not here. So I feel like I have lack of resources. Um My child's father does live here but he does not help um on a consistent basis. So the majority of the work is basically left up to me. Um So I feel like that um that's basically what I feel like my community is now in general as far as where I live, which I don't know if that's what the question is based on. Um But I feel good about where I live. It's quiet out here. I, I feel pretty safe but when I think of my community, I really do think about people that I'm close to and my family and friends. And honestly, I feel like um there is a lack in that. Uh I feel like uh the community around me when they are available, I feel like they only want to be available for what I could do for them. Um I feel like my personal community doesn't ask me enough. Am I ok. Do I need a break? Is there anything that they can help with? And um it does affect me in a way to where I feel like I don't have anyone really um to depend on when I need them the most.",31_community_online_people_group,online_community
25,603812a895e00018d3ef4e6a,QOL_1,"I live in a small community in a rural mountain town in Idaho with a population that's less than 10,000 people by the standard. It means that, you know, a lot of people and it's hard to go to the grocery store without seeing somebody that, you know, everybody knows everybody, you grow up with the same people. You see them when you're an adult, everybody moves home after college. Usually I like being a part of this community. It can be a double edged sword at times where you can find immense amount of support, but also immense amount of rejection. If your reputation turns, I think that people get pretty bored. It's pretty easy to talk about other people. It's easy to tarnish a reputation just by word of mouth in a professional life is next to impossible. If you're also an active community member, there are a lot of cops in this town and that's one aspect of this community that I feel turns against itself. People's interests aren't exactly in local government's interests all the time. Although there are many opportunities to be vocal about these kinds of things.",31_community_online_people_group,online_community
26,5fc1c035ac92312b4c2e6bab,QOL_1,"For the most part, I'm satisfied about my quality of life within our community. There are events and stuff that as long as we find out about them, I think that they're really great. Um Just to get out and meet other people from the community. Um More so in surrounding communities rather than our own as it's a little bit smaller. Um But, uh and I also think that social media is good for being able to find out about these events and stuff. Uh And I feel safe for the most part within our neighborhood. I know a lot of our neighbors and everybody's pretty nice. Um I, I'm not, not too easy for me to make friends as I'm not a very sociable person or social person. Uh That's just because I'm quite busy in my everyday life that I feel like a lot of times I don't have time to make a lot of connections. But if I wanted to, I feel safe with the people that are around me uh within my community. And um I feel like our law enforcement and everything like that is trustworthy. For the most part, I think we have a good police force who are, who have the best interest in mind of the members of our community. And, yeah, I, I'm pretty satisfied. Um, sorry, I saw the second part of the question and um, a typical week in my life is pretty much, uh, well, I am going to school full time as well as working part time. So, uh that does take a lot of my time as I'm very motivated to do my best in my studies and also have Children who all my a lot of my time revolves around their interests and we go to different sporting uh activities for them. Um And I have a lot of responsibilities around the house. My husband works full time so he doesn't have as much time to help around the house. So that is also a big responsibility of mine.",31_community_online_people_group,online_community
27,5fee0c90eb52700cd9752702,QOL_1.1,"Well, today I'm gonna talk a little bit about what goes on in a typical week of my life. A lot of it is encompassed with work. Um, I get up quite early every day and I am a remote worker so I work online and I also, um, so that what, what that means is, is I, I rarely actually even use my vehicle, uh, which is good for the planet. But, um, right now, um, it's, it's not paying very well. So I'm, I'm a little bit in a, in a, what do you call it? Standing still and yet I'm, I'm running type of situation, um, because I work very hard each day. I, I, I tend to the, the market, I have social media that I, I work on as an influencer. Um, all kinds of things. Uh, internet related. My, I have online stores that I, I also have to attend to and, and deal with orders. So, um, it, it's just a lot of work to keep it all, you know, going and active. Um, I do have a few, a few free hours, uh, uh, each day. Of course, I, I, I, I have time to take a nap. And so that's one good thing about working at home is you can take a nap. But, but normally you find, you know, all I find because I'm very disciplined that I, I set, I set myself to, uh, a schedule anyway and say this is really when I'm gonna take a nap each day and, and then, you know, be, be kind of stern with it and, and make sure I don't oversleep. Otherwise when I get back to work again, like my second shift, so to speak, I can't, um, I'll be, I'll be more groggy, you know. So I do try to have just like a, a 20 to 30 minute. Um, if I, if I go over an hour, it's definitely a problem. Um, so, so when I'm, I'm, and then later in the evening I do more work, believe it or not. So this, it's, now the sun has fallen out, out down. It's, it's sunset and, and, um, maybe I had time during the day to tend to my animals. I have a, I have fish and I have a, I have a hen and, uh, sometimes I try to feed a, a neighbor cat, um, but who's been fixed but, um, because he's very thin. But, um, that, that's occasional. Um, and, and, and garden in the, if, if I have a moment I do try to garden. So that's really, um, that's really about what I do a typical week, week in my life and if I do have an exit time to, to go out, uh, you know, start the car and, you know, I, I, this moment is, is time to go get food, uh, fresh food. And if it comes back, if I come back from the store from, from the fresh food supply and it wasn't fresh. Oh, my gosh. That, that, that's really, um, it's really a bummer because it, it just means that I have to wait another week, you know, and hope for it. But it's just where I live in this desert location, they have a problem with, um, with always supplying the freshest and then they overcharge for it. So, anyway, I think that's enough for this, this particular typical week in the life of. And yes, it's a very, uh, military town. And so when we're getting into community it's gonna be a lot of this discussion.",35_career_motivates_want_work,career_motivation
28,5dc483cf74939e34e55c3619,QOL_1,"I am going to say um that I guess the question is um why I responded and somewhat disagree with being satisfied with the life in my community. I realized recently after a month or so of travel, I really don't like it here. Um I often say it's like a cow town without any cows. It's not very, I, I actually lived abroad for a while. I want to live abroad again. I love walking around. Absolutely fascinated. And here I just don't feel interested. I mean, I, there's a lot of kind of rundown apartment buildings in my neighborhood. I see tons and tons every day. I see people on fentaNYL or methadone walking past my house, nobody can leave anything visible in their cars. Otherwise the windows are broken. You know, crime is up. It's a boring American town. Um You can't buy a hamburger without paying $15 for it. It's too expensive. I'm tired, uh really tired of sort of irresponsible capitalism, um, consumerism. It's just, I'm at a point where I feel kind of extremely dissatisfied with life in the United States. Self congratulatory, underperforming in many respects from the type of democracy that we have to the performance of our supposedly best in the world health system, which is really so anyway, um, that's how I feel and that's why I said I'm kind of somewhat disagreed with, with, uh, being satisfied.",5_direction_want_im_life,life_direction
