"uuid","userid","itemid","transcript","duration","number_of_words","words_per_minute","created_at","mp03_url","recorded_from","app_uuid","flag_invalid_moment","flag_dup_moment","prompt_category","prompt_construct","itemtext","source","prompt_id","swls_tot","student_status_prolific"
"v-f973eec3-bf04-4a17-aaaf-c7daa35faf23","5e63e24eaf3bd51660031dbe","PromptGoal","my life would be more satisfying. I think if I didn't have to work as much as I do um if I were able to spend more time with my family and do things that, you know, I don't want to say do things I'm interested in because I am interested in my job, but do more, you know, hobbies and and enjoyable things uh outside of a work capacity. Um as far as my first step, you know, I I am saving for retirement, but I'm also a young guy fairly um I'm investing, trying to get a nice little safety net there and securing my family's future is is my first step towards that goal and I'm not doing too bad at it right now. Um you know, just building brick by brick And hopefully one day I'll be able to pump the brakes a little bit on, on work and enjoy more of my life with the people that I love. So yeah.",91.65,166,108.674304418985,"2022-12-19T00:18:09.904Z","https://www.cameratag.com/assets/v-f973eec3-bf04-4a17-aaaf-c7daa35faf23/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=5e63e24eaf3bd51660031dbe&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa73de000864377852411","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",11,"Yes"
"v-e83175f4-253d-4c5c-bbd1-641a917b9d91","606e4eb2a56685e5593304cd","PromptGoal","I'm gonna sound very materialistic. My first goal towards a more satisfying life would be very comfortable financially as someone who grew up in a blue collar home, As one of five kids whose father worked in a factory. All five of the kids went on to college and I was the fifth of the kids. So my parents were always paying for college, so we never had any money. And then after when I was married, we were paying for college, you know, for my wife's grad school and then we had three kids and then once we finally had a good amount of money as a couple, I we got divorced and then she tried to take me for all my money and put me in a bad financial situation. And so I've been trying to rebound from that. I just want a nice, easy financial situation that would allow me to not worry about money and if I could not worry about money that would allow me to focus on more gratifying aspects of life and that would make life more satisfying. People that talk about that are people that argue that people should stop worrying about money or the money is not all that important are people that don't have to worry about money, that those are the people that do that because for people that, that have to worry about money, they know they don't say things like that because they know better. Um and especially with inflation and the cost of housing and everything that have been going up dramatically over the past two or three years, money is is a significant issue, and it takes away your ability to do other things that you would want to do to live a more satisfying life. Um And so that would be my first step. My first step would be to be in a very, very comfortable financial situation where I wouldn't have to worry about finances. Then then I could worry about other non financial stuff, and that would allow me to live a more satisfying life.",158.81,353,133.36691644103,"2022-12-19T00:20:04.463Z","https://www.cameratag.com/assets/v-e83175f4-253d-4c5c-bbd1-641a917b9d91/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=606e4eb2a56685e5593304cd&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa6f72c3893a44ff55ac1","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",10,"Yes"
"v-b2601be1-8a12-463a-bb3e-37fccb5fd416","5c8974ef34daa70015e92daf","PromptGoal","if I go was a more satisfying. Like what would be your first step towards that goal? Well, I mean, I know the answer, it's just not interesting. Like it's not a fun answer. I don't really get to go all that in depth. I mean it's get more money and I don't even mean like, oh I need to be a billionaire or I need to be a millionaire or something like that. I just need enough money that I don't need to worry about the bills basically. That would be it. That would be that would be my first step. And in fact that would also be I guess you could argue that be the goal. But no, the goal that is just a step toward hey, more satisfying life because that wouldn't because yes, removing those worries, removing my biggest problems would result any more satisfying life. But there's more to it than that. You would also need to do things that add enjoyment or add satisfaction, not just get rid of things that take it away. So yeah, like so there's more to the goal than just taking, getting rid of your problems. But most of my problems, if not all of my problems are caused by insufficient funds. So that's what I need to do. I need to get rid of the big problem in sufficient funds. That would be the big first step to a more satisfying life with that. Only with that problem out of the way, could I concentrate on the second step, the third step and so on",111.58,267,143.574117225309,"2022-12-19T00:23:11.141Z","https://www.cameratag.com/assets/v-b2601be1-8a12-463a-bb3e-37fccb5fd416/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=5c8974ef34daa70015e92daf&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa678d588d433df28a450","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",20,"Yes"
"v-5a580278-1eb1-450d-b6a7-b1c486b59152","602454a47d0d7d121a1e444b","PromptGoal","well to me uh More satisfying life would be one where you don't really have a whole lot of a whole lot of desires. Um Because I feel like a lot of people get stuck in this trap where they like you know they there's things that they want um And then they can't have them and so they feel like empty without that thing or they feel like they're a failure if they don't have that thing. And very few people actually get the things that they want. Um So first step towards that goal is to just re evaluate the things that you think you might want in life um and sort of like prioritize them until like you know is this a need right? Or is this is this something that's absolutely necessary? Like um for example eating food is obviously a need that is absolutely necessary, but like I don't know like say having a having a girlfriend or something or having a wife, well that's it's nice to have um it's not absolutely necessary for survival. Um So to like put your entire ego on whether or not you know you're gonna have a girlfriend or something. Um There's a very put you put put you in a very bad place if you can't fulfill that goal. So if you want a more satisfying life, I would say just get rid of desire",101.47,238,140.731250615946,"2022-12-19T00:32:03.243Z","https://www.cameratag.com/assets/v-5a580278-1eb1-450d-b6a7-b1c486b59152/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=602454a47d0d7d121a1e444b&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa667bd1a22b095de32a3","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",24,"Yes"
"v-038ba4bd-61dc-416e-a5c5-b8c976179127","633753ce3c8019c829e7ee33","PromptGoal","what? There's this saying that proper planning prevents videos. There are ways to achieving goals in life. One of those reasons is to plant carefully how to achieve go. So if a girl was more satisfying life, I think there is need to plan carefully how to achieve this life changing good, not just planning that should be adequate Implementation of the plan become most times people fear not because they did not plan with because they changed their plan along the way or do not implement their plan. So if you plan and then put into work your plan, we're going to succeed in getting your goal in life. If you work hard towards your good, all these are embedded in the plant. Work hard. You are going to get the desired you are working for. So I think planning is for me the best stick and achieving a good no matter what it is like Yes,",98.86,158,95.8931822779688,"2022-12-19T00:35:45.236Z","https://www.cameratag.com/assets/v-038ba4bd-61dc-416e-a5c5-b8c976179127/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=633753ce3c8019c829e7ee33&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa8078375f92956b598ba","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",24,"Yes"
"v-186fbbab-37bc-4800-bc4b-9b56b53bb674","5d9f8122428ba50017ca3fc8","PromptGoal","I think the first step for my more satisfying life would be getting as healthy as I possibly can be mentally and physically. I think everything else or everything feels better when you're fit and well mentally. So if I wanted a more satisfying life, I would start running again. I would stretch every night. I would to weight training to target my body's weak spots. I would foam roll, I would get massages, I would visit visit physiotherapists, I would invest in my mental health, I would buy um alright, would you know, meditate more journal, more um more introspection etcetera, etcetera. Read more books um talk to my friends more. But this stuff doing all this stuff sometimes feels to me like a full time job, like taking care of yourself optimally feels like a full time job to me and I feel like I could, if I didn't have a job I really like grind on working myself out to be the best, like polishing myself I guess. Um So I would say certainly it's about for me mental and physical health right now, I'm saying like 70% physical and like 85% mental, which is pretty good, You know, 70, average passing, but it could definitely be higher. So yeah, get healthy. That's how I would uh that's the first step I could take towards a more satisfying life",108.69,232,128.070659674303,"2022-12-19T00:44:26.334Z","https://www.cameratag.com/assets/v-186fbbab-37bc-4800-bc4b-9b56b53bb674/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=5d9f8122428ba50017ca3fc8&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fad46e00086437785244a","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",29,"Yes"
"v-ebd51977-b952-46fa-97d9-4de061262304","61372727e083e6cd1c827f81","PromptGoal","my first goal was a more satisfying life. What would my first step be? That's really easy. Um That would be make more money. Um I need to basically be able to financially support myself and save money before I'm able to do anything else. A satisfying life is not going to occur if I'm poor, I have to put in the financial resources in order to make that actually happen. Um My dreams are not gonna manifest into reality if I do nothing. So part of, part of the satisfaction of it too is getting to where you need to be through your hard work and your own goals in meeting those goals. But money is so important. Like if you don't have that, you don't have anything else. And um you know the most important first step is work extra hard, work, long hours like work Elon musk hours like you gotta just aggressively go after it and really really want it and you need to make that money and do the best you can with the time that's given to you because life, life could just disappear tomorrow. I could die crossing the street tonight. Um You know, it's, it's an uncertain place the world we live in and I try to be satisfied in the moment, but there's so much that I need to work on and all of that requires money",94.78,236,149.398607301118,"2022-12-19T01:00:26.516Z","https://www.cameratag.com/assets/v-ebd51977-b952-46fa-97d9-4de061262304/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=61372727e083e6cd1c827f81&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fa67f72a917a4eee2486a","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",7,"Yes"
"v-8094e5a6-b764-41d3-b1ae-c6d834854f20","5e0c664d78322543b1fea686","PromptGoal","my first goal tourism more satisfying. Life would probably be to cherish my relationships more. I feel like in life I've gone through so many phases of people that I just I don't, I lost communication with these people. You know, I can still reach out to them. But I lost community the daily, you know what I'm saying? Or even just communication at all whatsoever with these people. And I feel like I take for granted what I have with some of the closest people that I had in my life. You know what I mean? And it's always comes to the point where I'm just not talking to these people and it's like why we didn't have I don't think we had beef. We had no bad would maybe a little bit but it was it was it was shouted. You know what I mean? So there's no reason for me too not um still have these people, you know on my my my my my thoughts in my brain And I feel like there's a lot of people that I just interact with on a daily basis that I would want to get closer to. But I just don't know how I would do that. I feel like it's some It's partly pride. Mm hmm. And the fat and like it's pride and the fact that I think like I think others should be reaching out to me, but I should be doing. No, I should be doing the same",96.11,253,157.944022474248,"2022-12-19T01:57:30.696Z","https://www.cameratag.com/assets/v-8094e5a6-b764-41d3-b1ae-c6d834854f20/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=5e0c664d78322543b1fea686&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=639fbd4c25462df6c3de329e","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",12,"Yes"
"v-e846ae4e-6732-4f06-aa6e-1713a3dd5fe8","610058f21b82dddf45b44009","PromptGoal","um so if my goal is a more satisfying life, which I think in part kind of already is one of my goals about my life, I think um one of this, one of my first steps towards that goal would be to remove a lot of the unnecessary things taking up my time um in my life that are contributing to a more complete and whole sense of self and sense of being. So I think maybe tuning out unnecessary technology and allocating more time towards meditation or just time with loved ones that would be a good first step in that direction, but then eventually down the line, it's probably in my eyes, it would also be too um to kind of set myself apart from a lot of the fast paced ways of living um in the modern age and kind of whether that be like going to the woods more or just separating myself in a different way we're living um in a more rural place with more, more nature. I think that would really help me in being more mindful about where I'm allocating my time and my effort to. So I think um you know, being self sustainable would be really satisfying and kind of focusing more on quality of life than my income. I think that would be a great way to get towards a more satisfying lift and eventually happiness",108.4,238,131.734317343173,"2022-12-19T22:41:12.243Z","https://www.cameratag.com/assets/v-e846ae4e-6732-4f06-aa6e-1713a3dd5fe8/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=610058f21b82dddf45b44009&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=63a0e3ef9ba047fa2539f62b","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",20,"Yes"
"v-5a9dc240-0ad0-404c-93af-33169eb13128","62a6c39ce82d993784c0b352","PromptGoal","if my goal was to have a more satisfying life, my first step towards that goal would probably be to better learn how to let go of things that have gone on in, in the past when I was a child. Um there are a lot of things that I went through that no child should have gone through and although I feel that that helped shape me into who I am today, I also feel that it greatly hindered me in a lot of aspects of my life. I do pretty well at trying not to relive those situations and bring him bring that to my current life, but sometimes it pTSD just does not allow that to happen. Um, so I guess my first step and and that would be to talk about it more, let it be out in the open more, um, which would allow me to learn how to cope with those situations a little bit better. And I guess I would allow me to be able to feel and feel myself, that it is nothing to be ashamed of, the things that I've gone through as a child and it wasn't my fault",85.41,199,139.796276782578,"2022-12-19T22:41:52.796Z","https://www.cameratag.com/assets/v-5a9dc240-0ad0-404c-93af-33169eb13128/mp3.mp3","https://lotic.qualtrics.com/jfe/form/SV_9NwfGbrxyxUZOku?PROLIFIC_PID=62a6c39ce82d993784c0b352&STUDY_ID=639e73b38884ae6555e593ca&SESSION_ID=63a0e3f066b1fdf634c84916","a-b14b7c20-5f43-013b-1cdd-02c7c2460d41",FALSE,FALSE,"Goals","Goals","If your goal was a more satisfying life, what would be your first step towards that goal?","Lets talk about wellbeing","prompt_01",21,"Yes"
