"variable","value","label","meta"
"TX_county",218,"Sutton County, TX",NA
"TX_county",219,"Swisher County, TX",NA
"TX_county",220,"Tarrant County, TX",NA
"TX_county",221,"Taylor County, TX",NA
"TX_county",222,"Terrell County, TX",NA
"TX_county",223,"Terry County, TX",NA
"TX_county",224,"Throckmorton County, TX",NA
"TX_county",225,"Titus County, TX",NA
"TX_county",226,"Tom Green County, TX",NA
"TX_county",227,"Travis County, TX",NA
"TX_county",228,"Trinity County, TX",NA
"TX_county",229,"Tyler County, TX",NA
"TX_county",230,"Upshur County, TX",NA
"TX_county",231,"Upton County, TX",NA
"TX_county",232,"Uvalde County, TX",NA
"TX_county",233,"Val Verde County, TX",NA
"TX_county",234,"Van Zandt County, TX",NA
"TX_county",235,"Victoria County, TX",NA
"TX_county",236,"Walker County, TX",NA
"TX_county",237,"Waller County, TX",NA
"TX_county",238,"Ward County, TX",NA
"TX_county",239,"Washington County, TX",NA
"TX_county",240,"Webb County, TX",NA
"TX_county",241,"Wharton County, TX",NA
"TX_county",242,"Wheeler County, TX",NA
"TX_county",243,"Wichita County, TX",NA
"TX_county",244,"Wilbarger County, TX",NA
"TX_county",245,"Willacy County, TX",NA
"TX_county",246,"Williamson County, TX",NA
"TX_county",247,"Wilson County, TX",NA
"TX_county",248,"Winkler County, TX",NA
"TX_county",249,"Wise County, TX",NA
"TX_county",250,"Wood County, TX",NA
"TX_county",251,"Yoakum County, TX",NA
"TX_county",252,"Young County, TX",NA
"TX_county",253,"Zapata County, TX",NA
"TX_county",254,"Zavala County, TX",NA
"ID_county",NA,"In which county do you currently live?","varlab"
"ID_county",1,"Ada County, ID",NA
"ID_county",2,"Adams County, ID",NA
"ID_county",3,"Bannock County, ID",NA
"ID_county",4,"Bear Lake County, ID",NA
"ID_county",5,"Benewah County, ID",NA
"ID_county",6,"Bingham County, ID",NA
"ID_county",7,"Blaine County, ID",NA
"ID_county",8,"Boise County, ID",NA
"ID_county",9,"Bonner County, ID",NA
"ID_county",10,"Bonneville County, ID",NA
"ID_county",11,"Boundary County, ID",NA
"ID_county",12,"Butte County, ID",NA
"ID_county",13,"Camas County, ID",NA
"ID_county",14,"Canyon County, ID",NA
"ID_county",15,"Caribou County, ID",NA
"ID_county",16,"Cassia County, ID",NA
"ID_county",17,"Clark County, ID",NA
"ID_county",18,"Clearwater County, ID",NA
"ID_county",19,"Custer County, ID",NA
"ID_county",20,"Elmore County, ID",NA
"ID_county",21,"Franklin County, ID",NA
"ID_county",22,"Fremont County, ID",NA
"ID_county",23,"Gem County, ID",NA
"ID_county",24,"Gooding County, ID",NA
"ID_county",25,"Idaho County, ID",NA
"ID_county",26,"Jefferson County, ID",NA
"ID_county",27,"Jerome County, ID",NA
"ID_county",28,"Kootenai County, ID",NA
"ID_county",29,"Latah County, ID",NA
"ID_county",30,"Lemhi County, ID",NA
"ID_county",31,"Lewis County, ID",NA
"ID_county",32,"Lincoln County, ID",NA
"ID_county",33,"Madison County, ID",NA
"ID_county",34,"Minidoka County, ID",NA
"ID_county",35,"Nez Perce County, ID",NA
"ID_county",36,"Oneida County, ID",NA
"ID_county",37,"Owyhee County, ID",NA
"ID_county",38,"Payette County, ID",NA
"ID_county",39,"Power County, ID",NA
"ID_county",40,"Shoshone County, ID",NA
"ID_county",41,"Teton County, ID",NA
"ID_county",42,"Twin Falls County, ID",NA
"ID_county",43,"Valley County, ID",NA
"ID_county",44,"Washington County, ID",NA
"IA_county",NA,"In which county do you currently live?","varlab"
"IA_county",1,"Adair County, IA",NA
"IA_county",2,"Adams County, IA",NA
"IA_county",3,"Allamakee County, IA",NA
"IA_county",4,"Appanoose County, IA",NA
"IA_county",5,"Audubon County, IA",NA
"IA_county",6,"Benton County, IA",NA
"IA_county",7,"Black Hawk County, IA",NA
"IA_county",8,"Boone County, IA",NA
"IA_county",9,"Bremer County, IA",NA
"IA_county",10,"Buchanan County, IA",NA
"IA_county",11,"Buena Vista County, IA",NA
"IA_county",12,"Butler County, IA",NA
"IA_county",13,"Calhoun County, IA",NA
"IA_county",14,"Carroll County, IA",NA
"IA_county",15,"Cass County, IA",NA
"IA_county",16,"Cedar County, IA",NA
"IA_county",17,"Cerro Gordo County, IA",NA
"IA_county",18,"Cherokee County, IA",NA
"IA_county",19,"Chickasaw County, IA",NA
"IA_county",20,"Clarke County, IA",NA
"IA_county",21,"Clay County, IA",NA
"IA_county",22,"Clayton County, IA",NA
"IA_county",23,"Clinton County, IA",NA
"IA_county",24,"Crawford County, IA",NA
"IA_county",25,"Dallas County, IA",NA
"IA_county",26,"Davis County, IA",NA
"IA_county",27,"Decatur County, IA",NA
"IA_county",28,"Delaware County, IA",NA
"IA_county",29,"Des Moines County, IA",NA
"IA_county",30,"Dickinson County, IA",NA
"IA_county",31,"Dubuque County, IA",NA
"IA_county",32,"Emmet County, IA",NA
"IA_county",33,"Fayette County, IA",NA
"IA_county",34,"Floyd County, IA",NA
"IA_county",35,"Franklin County, IA",NA
"IA_county",36,"Fremont County, IA",NA
"IA_county",37,"Greene County, IA",NA
"IA_county",38,"Grundy County, IA",NA
"IA_county",39,"Guthrie County, IA",NA
"IA_county",40,"Hamilton County, IA",NA
"IA_county",41,"Hancock County, IA",NA
"IA_county",42,"Hardin County, IA",NA
"IA_county",43,"Harrison County, IA",NA
"IA_county",44,"Henry County, IA",NA
"IA_county",45,"Howard County, IA",NA
"IA_county",46,"Humboldt County, IA",NA
"IA_county",47,"Ida County, IA",NA
"IA_county",48,"Iowa County, IA",NA
"IA_county",49,"Jackson County, IA",NA
"IA_county",50,"Jasper County, IA",NA
"IA_county",51,"Jefferson County, IA",NA
"IA_county",52,"Johnson County, IA",NA
"IA_county",53,"Jones County, IA",NA
"IA_county",54,"Keokuk County, IA",NA
"IA_county",55,"Kossuth County, IA",NA
"IA_county",56,"Lee County, IA",NA
"IA_county",57,"Linn County, IA",NA
"IA_county",58,"Louisa County, IA",NA
"IA_county",59,"Lucas County, IA",NA
"IA_county",60,"Lyon County, IA",NA
"IA_county",61,"Madison County, IA",NA
"IA_county",62,"Mahaska County, IA",NA
"IA_county",63,"Marion County, IA",NA
"IA_county",64,"Marshall County, IA",NA
"IA_county",65,"Mills County, IA",NA
"IA_county",66,"Mitchell County, IA",NA
"IA_county",67,"Monona County, IA",NA
"IA_county",68,"Monroe County, IA",NA
"IA_county",69,"Montgomery County, IA",NA
"IA_county",70,"Muscatine County, IA",NA
"IA_county",71,"O’Brien County, IA",NA
"IA_county",72,"Osceola County, IA",NA
"IA_county",73,"Page County, IA",NA
"IA_county",74,"Palo Alto County, IA",NA
"IA_county",75,"Plymouth County, IA",NA
"IA_county",76,"Pocahontas County, IA",NA
"IA_county",77,"Polk County, IA",NA
"IA_county",78,"Pottawattamie County, IA",NA
"IA_county",79,"Poweshiek County, IA",NA
"IA_county",80,"Ringgold County, IA",NA
"IA_county",81,"Sac County, IA",NA
"IA_county",82,"Scott County, IA",NA
"IA_county",83,"Shelby County, IA",NA
"IA_county",84,"Sioux County, IA",NA
"IA_county",85,"Story County, IA",NA
"IA_county",86,"Tama County, IA",NA
"IA_county",87,"Taylor County, IA",NA
"IA_county",88,"Union County, IA",NA
"IA_county",89,"Van Buren County, IA",NA
"IA_county",90,"Wapello County, IA",NA
"IA_county",91,"Warren County, IA",NA
"IA_county",92,"Washington County, IA",NA
"IA_county",93,"Wayne County, IA",NA
"IA_county",94,"Webster County, IA",NA
"IA_county",95,"Winnebago County, IA",NA
"IA_county",96,"Winneshiek County, IA",NA
"IA_county",97,"Woodbury County, IA",NA
"IA_county",98,"Worth County, IA",NA
"IA_county",99,"Wright County, IA",NA
"NC_county",NA,"In which county do you currently live?","varlab"
"NC_county",1,"Alamance County, NC",NA
"NC_county",2,"Alexander County, NC",NA
"NC_county",3,"Alleghany County, NC",NA
"NC_county",4,"Anson County, NC",NA
"NC_county",5,"Ashe County, NC",NA
"NC_county",6,"Avery County, NC",NA
"NC_county",7,"Beaufort County, NC",NA
"NC_county",8,"Bertie County, NC",NA
"NC_county",9,"Bladen County, NC",NA
"NC_county",10,"Brunswick County, NC",NA
"NC_county",11,"Buncombe County, NC",NA
"NC_county",12,"Burke County, NC",NA
"NC_county",13,"Cabarrus County, NC",NA
"NC_county",14,"Caldwell County, NC",NA
"NC_county",15,"Camden County, NC",NA
"NC_county",16,"Carteret County, NC",NA
"NC_county",17,"Caswell County, NC",NA
"NC_county",18,"Catawba County, NC",NA
"NC_county",19,"Chatham County, NC",NA
"NC_county",20,"Cherokee County, NC",NA
"NC_county",21,"Chowan County, NC",NA
"NC_county",22,"Clay County, NC",NA
"NC_county",23,"Cleveland County, NC",NA
"NC_county",24,"Columbus County, NC",NA
"NC_county",25,"Craven County, NC",NA
"NC_county",26,"Cumberland County, NC",NA
"NC_county",27,"Currituck County, NC",NA
"NC_county",28,"Dare County, NC",NA
"NC_county",29,"Davidson County, NC",NA
"NC_county",30,"Davie County, NC",NA
"NC_county",31,"Duplin County, NC",NA
"NC_county",32,"Durham County, NC",NA
"NC_county",33,"Edgecombe County, NC",NA
"NC_county",34,"Forsyth County, NC",NA
"NC_county",35,"Franklin County, NC",NA
"NC_county",36,"Gaston County, NC",NA
"NC_county",37,"Gates County, NC",NA
"NC_county",38,"Graham County, NC",NA
"NC_county",39,"Granville County, NC",NA
"NC_county",40,"Greene County, NC",NA
"NC_county",41,"Guilford County, NC",NA
"NC_county",42,"Halifax County, NC",NA
"NC_county",43,"Harnett County, NC",NA
"NC_county",44,"Haywood County, NC",NA
"NC_county",45,"Henderson County, NC",NA
"NC_county",46,"Hertford County, NC",NA
"NC_county",47,"Hoke County, NC",NA
"NC_county",48,"Hyde County, NC",NA
"NC_county",49,"Iredell County, NC",NA
"NC_county",50,"Jackson County, NC",NA
"NC_county",51,"Johnston County, NC",NA
"NC_county",52,"Jones County, NC",NA
"NC_county",53,"Lee County, NC",NA
"NC_county",54,"Lenoir County, NC",NA
"NC_county",55,"Lincoln County, NC",NA
"NC_county",56,"Macon County, NC",NA
"NC_county",57,"Madison County, NC",NA
"NC_county",58,"Martin County, NC",NA
"NC_county",59,"McDowell County, NC",NA
"NC_county",60,"Mecklenburg County, NC",NA
"NC_county",61,"Mitchell County, NC",NA
"NC_county",62,"Montgomery County, NC",NA
"NC_county",63,"Moore County, NC",NA
"NC_county",64,"Nash County, NC",NA
"NC_county",65,"New Hanover County, NC",NA
"NC_county",66,"Northampton County, NC",NA
"NC_county",67,"Onslow County, NC",NA
"NC_county",68,"Orange County, NC",NA
"NC_county",69,"Pamlico County, NC",NA
"NC_county",70,"Pasquotank County, NC",NA
"NC_county",71,"Pender County, NC",NA
"NC_county",72,"Perquimans County, NC",NA
"NC_county",73,"Person County, NC",NA
"NC_county",74,"Pitt County, NC",NA
"NC_county",75,"Polk County, NC",NA
"NC_county",76,"Randolph County, NC",NA
"NC_county",77,"Richmond County, NC",NA
"NC_county",78,"Robeson County, NC",NA
"NC_county",79,"Rockingham County, NC",NA
"NC_county",80,"Rowan County, NC",NA
"NC_county",81,"Rutherford County, NC",NA
"NC_county",82,"Sampson County, NC",NA
"NC_county",83,"Scotland County, NC",NA
"NC_county",84,"Stanly County, NC",NA
"NC_county",85,"Stokes County, NC",NA
"NC_county",86,"Surry County, NC",NA
"NC_county",87,"Swain County, NC",NA
"NC_county",88,"Transylvania County, NC",NA
"NC_county",89,"Tyrrell County, NC",NA
"NC_county",90,"Union County, NC",NA
"NC_county",91,"Vance County, NC",NA
"NC_county",92,"Wake County, NC",NA
"NC_county",93,"Warren County, NC",NA
"NC_county",94,"Washington County, NC",NA
"NC_county",95,"Watauga County, NC",NA
"NC_county",96,"Wayne County, NC",NA
"NC_county",97,"Wilkes County, NC",NA
"NC_county",98,"Wilson County, NC",NA
"NC_county",99,"Yadkin County, NC",NA
"NC_county",100,"Yancey County, NC",NA
"IN_county",NA,"In which county do you currently live?","varlab"
"IN_county",1,"Adams County, IN",NA
"IN_county",2,"Allen County, IN",NA
"IN_county",3,"Bartholomew County, IN",NA
"IN_county",4,"Benton County, IN",NA
"IN_county",5,"Blackford County, IN",NA
"IN_county",6,"Boone County, IN",NA
"IN_county",7,"Brown County, IN",NA
"IN_county",8,"Carroll County, IN",NA
"IN_county",9,"Cass County, IN",NA
"IN_county",10,"Clark County, IN",NA
"IN_county",11,"Clay County, IN",NA
"IN_county",12,"Clinton County, IN",NA
"IN_county",13,"Crawford County, IN",NA
"IN_county",14,"Daviess County, IN",NA
"IN_county",15,"Dearborn County, IN",NA
"IN_county",16,"Decatur County, IN",NA
"IN_county",17,"DeKalb County, IN",NA
"IN_county",18,"Delaware County, IN",NA
"IN_county",19,"Dubois County, IN",NA
"IN_county",20,"Elkhart County, IN",NA
"IN_county",21,"Fayette County, IN",NA
"IN_county",22,"Floyd County, IN",NA
"IN_county",23,"Fountain County, IN",NA
"IN_county",24,"Franklin County, IN",NA
"IN_county",25,"Fulton County, IN",NA
"IN_county",26,"Gibson County, IN",NA
"IN_county",27,"Grant County, IN",NA
"IN_county",28,"Greene County, IN",NA
"IN_county",29,"Hamilton County, IN",NA
"IN_county",30,"Hancock County, IN",NA
"IN_county",31,"Harrison County, IN",NA
"IN_county",32,"Hendricks County, IN",NA
"IN_county",33,"Henry County, IN",NA
"IN_county",34,"Howard County, IN",NA
"IN_county",35,"Huntington County, IN",NA
"IN_county",36,"Jackson County, IN",NA
"IN_county",37,"Jasper County, IN",NA
"IN_county",38,"Jay County, IN",NA
"IN_county",39,"Jefferson County, IN",NA
"IN_county",40,"Jennings County, IN",NA
"IN_county",41,"Johnson County, IN",NA
"IN_county",42,"Knox County, IN",NA
"IN_county",43,"Kosciusko County, IN",NA
"IN_county",44,"LaGrange County, IN",NA
"IN_county",45,"Lake County, IN",NA
"IN_county",46,"LaPorte County, IN",NA
"IN_county",47,"Lawrence County, IN",NA
"IN_county",48,"Madison County, IN",NA
